country_code,CPV,total_value_sme,n_contracts_sme,n_contractors_sme,total_value_large,n_contracts_large,n_contractors_large
BE,42000000,55363.0,2,2,168186.0,2,2
BE,42200000,123956.0,2,2,45565.0,1,1
BE,42990000,150000.0,1,1,540000.0,1,1
BE,44000000,139176.72,5,5,1385935.43,6,22
BE,44160000,5733690.4,6,6,1066308.55,2,2
BE,44510000,545915.0,4,4,240329.0,2,2
BE,45000000,92065082.17999999,22,37,892556951.01,54,111
BE,45111000,217393.9,1,1,5895202.18,1,1
BE,45112500,20877.0,1,1,17009082.86,1,1
BE,45200000,5925369.92,1,2,77360637.62,20,21
BE,45210000,10473807.56,3,3,74173953.05,2,5
BE,45211000,52652886.15,2,2,20464828.67,3,3
BE,45220000,2752300.0,3,3,1298664.37,3,3
BE,45232411,21207596.509999998,2,2,36598758.690000005,4,4
BE,45234116,8597192.02,3,3,44730336.25,4,8
BE,45240000,760824.88,1,1,56408780.97,17,17
BE,45260000,2795673.8,1,2,2795673.8,1,2
BE,45300000,35659343.47,6,10,23983389.27,3,3
BE,45331000,7342759.0,2,2,11115538.83,2,2
BE,45400000,3417832.0700000003,12,12,138106943.66,4,11
BE,48000000,3380497.15,11,11,8032229751.690001,19,21
BE,48450000,480732.0,2,2,1002858.0,2,2
BE,48451000,739917.61,2,2,227703.08,1,1
BE,50000000,19597060.68,8,8,9864317.700000001,21,22
BE,50100000,380165.29,1,1,3341528.93,5,6
BE,50110000,1028099.0,1,1,503140.49,2,2
BE,50118110,332520.0,1,1,366562.51,4,4
BE,50531100,3750000.0,1,1,569551.83,3,3
BE,50610000,1191665.0,1,1,1090916.5999999999,3,3
BE,50700000,9891632.39,16,16,796654007.05,31,33
BE,50710000,103936.64,4,4,5890000.0,2,2
BE,50720000,100440.0,1,1,13267021.54,11,11
BE,50800000,400000.0,1,1,279914.24,1,1
BE,51610000,212064.54,1,1,23652431.1,1,1
BE,55321000,1533135.19,1,1,10039050.32,3,3
BE,55520000,1800000.0,2,2,33131426.62,7,7
BE,55524000,125187.12,1,1,4937145.0,2,2
BE,60000000,49913840.0,14,108,10376852.14,7,73
BE,60100000,1123281.8,13,13,1239669.4,4,4
BE,60130000,559020.0,1,1,2207373.69,9,9
BE,60160000,3895000.0,6,11,6260000.0,9,14
BE,60170000,683801.65,3,3,788932.0,2,2
BE,60172000,1491688.22,12,12,1678899.41,31,31
BE,63510000,1529000.0,4,4,8624000.0,2,4
BE,63712000,525737.25,2,2,773933.86,8,8
BE,66100000,183792.16999999998,2,2,2506942.1,3,3
BE,66516000,6820728.84,1,1,7971000.0,2,2
BE,70000000,46666.12,1,1,3540400.0,2,2
BE,71000000,112570061.04,76,114,98691878.99000001,42,78
BE,71221000,2359952.8200000003,4,5,2387903.26,3,4
BE,71241000,3173180.0,5,12,5707933.800000001,13,17
BE,71250000,677573.14,2,2,78000.0,1,2
BE,71310000,17013725.0,10,26,3235200.0,8,9
BE,71313400,3153616.0,1,2,3681120.0,3,4
BE,71314300,2530850.0,6,12,11472054.89,7,10
BE,71315410,176780.0,1,1,190429.0,1,1
BE,71317200,564000.0,1,1,292669.0,1,1
BE,71351611,2999950.0,1,3,2999950.0,1,3
BE,71355000,345.6,1,1,382795.73,1,1
BE,71356200,15000000.0,2,6,46000000.0,5,11
BE,71600000,1810980.0,2,6,1085029.05,7,7
BE,71621000,7000000.0,1,2,59399424.0,4,6
BE,71630000,115000.0,3,3,5351945.4399999995,8,8
BE,71700000,3736327.56,3,3,539096.0,2,4
BE,72000000,271621353.0,106,154,5976303354.98,110,216
BE,72200000,140000.0,1,1,51965437.3,14,14
BE,72210000,672000.0,1,1,6308643.0,3,3
BE,72212000,7117256.55,3,3,593385.0,1,1
BE,72220000,20204620.0,4,7,19620340.0,2,5
BE,72260000,219030.0,1,3,386400.0,1,1
BE,72319000,19300000.0,4,8,8360000.0,6,9
